Simon Bolivar, Monterrey.
Power One, Sonosite.
Prospect Capital Corporation, Alexandria Real Estate Equities.
Perkin Elmer, Insight Management Corporation.
Priceline Dot Com, Monolithic Power Systems.
Oasis Petroleum, Guess.
National Fuel Gas Company, Ancestry Dot Com.
Neomedia Technologies, Camden Property Trust.
Myriad Genetics, Vanguard European E T F.
Microsemi Corporation, Nutrisystem.
Motricity, Northeast-Utilities.
Mannkind Corporation, Home Properties.
Medassets, Caliper Life Sciences.
Linear Technology Corporation, Timken Company.
Left Behind Games, Left Behind Games.
Kraton Performance Polymers, Nielsen Holdings N V.
Kimberly-Clark Corporation, United Natural Foods.
K B R, Prospect Capital Corporation.
Johnson and Johnson, Enterprise Products Partners.
J C Penney Company, Cooper Companies.
J B Hunt Transport Services, Tidewater.
Transportation Average Index Fund, G T Advanced Technologies.
Invesco Mortgage Capital, Vitamin Shoppe.
Inhibitex, Sky Mobile.
Smallcap Six Hundred Index Fund, J M Smucker Company.
International Flavors, Financial Engines.
Heartware International, Webcom Group.
Healthspring, Silicon Image.
Harris Corporation, Radiant Systems.
The Home Depot, I T T Educational Services.
Halliburton Company, Vanguard Europe Pacific.
The Hain Celestial Group, Tupperware Brands Corporation.
G T Advanced Technologies, Dicks Sporting Goods.
Goodyear Tire and Rubber Company, C V R Energy.
General Motors Company, Spain Index Fund.
Gold Fields Limited, Embraer S A.
Fidelity-National Information Services, Cemex.
Sourcefire, Zoltek Companies.
Express, Level Three Communications.
Exelon Corporation, Coventry Health Care.
I T T Educational Services, Valley-National Bancorp.
Pacific Ex-Japan Index Fund, Tekelec.
Entegris, Ishares Russell Midcap Index Fund.
Electric Car Company, Horsehead Holding Corporation.
Eldorado Gold Corporation, Freddy Mac.
Ebix, Electronic Arts.
D T E Energy Company, Associated Banc Corporation.
Demandtec, Harleysville Group.
Dillard's, Vera Bradley.
Cemex, P F Changs China Bistro.
Clayton Williams Energy, Computer Programs and Systems.
Cenovus Energy, Stillwater Mining.
Smallcap Health Care, Applied Micro Circuits Corporation.
Canadian-Pacific Railway Limited, Smallcap Health Care Portfolio.
The Clorox Company, Rockwood Holdings.
Charming-Shoppes, Endo Pharmaceuticals.
Cnooc Limited, Royale Energy.
Cardtronics, Asiainfo Linkage.
Casey's General Stores, Coca-Cola.
Blackstone Group, Oshkosh Corporation.
Anheuser Busch Inbev, Insulet Corporation.
Berry-Petroleum, The Home-Depot.
Berkshire Hathaway, International Game Technology.
Ball Corporation, Sirius X M Radio.
Bill Barrett, Torchmark Corporation.
Avnet, Solar Capital Limited.
Ares Capital Corporation, Watsco.
Autonation, R C Two.
American Superconductor Corporation, Landstar System.
Allergan, Velti.
Zynga, Electronic Materials.
Zipcar, Johnson and Johnson.
Ixia, Ixia.
Xyratex Limited, Volterra Semiconductor.
Consumer Discretionary, Impax Laboratories.
The Wet Seal, Williams Partners.
Western Refining, Youku.
Wright Medical Group, Priceline Dot Com.
Wabco Holdings, Mohawk Industries.
Westamerica Bancorp, P S S World Medical.
Vitamin Shoppe, Direxion Daily Twenty Plus.
Vulcan-Materials Company, Anheuser Busch Inbev.
Vanguard European E T F, Proshares Trust.
Vanguard F T S E All World, Universal Health Services.
Index Investor, Valmont-Industries.
Valueclick, The Clorox Company.
Towers Watson, Silicon Laboratories.
Vanguard Index Funds, Alberto-Culver.
United-Stationers, Tata Motors Limited.
Unilever P L C, Vermillion.
C B S, Hittite Microwave Corporation.
Towers Watson and Company, Nationwide-Health-Properties.
Grupo Televisa, National Fuel Gas Company.
Tupperware Brands Corporation, Lear Corporation.
Tata Motors Limited, Ebix.
Tim Participacoes, Avnet.
Trina Solar Limited, Nanometrics.
Tripadvisor, Lennar Corporation.
Torchmark Corporation, P L C.
Toyota, Federal-National-Mortgage Association.
Motor Corporation, Ishares S and P Five Hundred Growth Index Fund.
Telvent, Kansas-City Southern.
Talisman Energy, Towers Watson and Company.
Talbots, Goodyear Tire and Rubber Company.
Timken Company, Multicell Technologies.
Terex Corporation, Ares Capital Corporation.
Teradyne, Cell Therapeutics.
Tidewater, Medassets.
Solazyme, Mannkind Corporation.
Synaptics, Electric Car Company.
Swisher Hygiene, Russell One Thousand Growth.
Stillwater Mining, Zoran Corporation.
Supervalu, E T F Gold Trust.
Stratasys, Linear Technology Corporation.
Sunvalley Solar, Sourcefire.
S R A International, Solazyme.
Sonosite, Commerce-Bancshares.
Sonic Solutions, Logitech International.
Scripps Networks Interactive, Casey's General Stores.
Semtech Corporation, Grupo Televisa.
Smart Modular Technologies, Copart.
Solar Capital Limited, J C Penney Company.
Silicon Laboratories, D T E Energy Company.
Silicon Image, Valueclick.
Signet Jewelers Limited, Align Technology.
Sify Technologies Limited, Bancorpsouth.
E T F Gold Trust, C B S.
Smithfield-Foods, Compania De Minas Buenaventura.
S E I Investments, Ryanair Holdings.
Select Comfort Corporations, Worthington-Industries.
Sterling Bancshares, Polypore.
Sanmina, R R Donnelley and Sons.
Royal-Bank Of Canada, Macerich.
Rue Twenty One, Vix Short Term Futures.
Red Robin Gourmet Burgers, Industries Incorporated.
Rockwood Holdings, Buckeye Partners.
Lodging Trust, The Wet Seal.
Resources Connection, Hecla-Mining.
R C Two, Jefferies Group.
Radiant Systems, Allergan.
Penn West Petroleum, Rue Twenty One.
Petrochina, Express.
P S S World Medical, Gartner.
Polypore International, Evcarco.
Insulet Corporation, Motricity.
Sprott Physical Gold Trust, Swiss Franc Shares.
P F Changs China Bistro, Approach Resources.
Petroleum Development Corporation, Inhibitex.
Piedmont Office Realty Trust, Office-Depot.
Plum-Creek-Timber, Healthspring.
People's United Financial, Rediff Dot Com India Limited.
Oxigene, Federal-Home-Loan-Mortgage.
Oshkosh Corporation, Stratasys.
Orexigen Therapeutics, Lender Processing Services.
Oplink Communications, U S Gold Corporation.
Office-Depot, Arris Group.
Old-Dominion Freight Line, Lodging Trust.
New-York Community Bancorp, Talisman Energy.
Nutrisystem, Mips Technologies.
Northern Oil and Gas, Market Vectors Gold Miners E T F.
National Retail Properties, American Campus Communities.
Nielsen Holdings N V, C B S Crude Oil.
Nationwide-Health-Properties, Cymer.
Ninety-Nine Cents Only Stores, Visteon Corporation.
Nanometrics, Yingli Green Energy Holding.
Markwest Energy Partners, Clayton Williams Energy.
Monolithic Power Systems, J B Hunt Transport Services.
Sky Mobile, Talbots.
Momenta Pharmaceuticals, Consumer Discretionary Select Sector.
Mips Technologies, Old-Dominion Freight Line.
Mohawk Industries, Dresser Rand Group.
Multicell Technologies, General-Motors Company.
Masimo Corporation, New-York Community Bancorp.
Manpower, American Superconductor Corporation.
Macerich, Swisher Hygiene.
Landstar System, Ishares Trust S and P Midcap.
Lattice Semiconductor Corporation, U S Airways Group.
Lender Processing Services, A One Two Three Systems.
Logmein, Bankunited.
Logitech International, Sterling Bancshares.
L Three Communications Holdings, Bill Barrett.
Laboratory Corporation Of America, Kimberly Clark Corporation.
Lithium Exploration Group, Apartment Investment and Management Company.
Lennar Corporation, Synaptics.
Lear Corporation, Invesco Mortgage Capital.
L D K Solar, Pacific Ex-Japan Index Fund.
U S Airways Group, Iconix Brand Group.
K B W Regional Banking, Ninety-Nine Cents Only Stores.
Kodiak Oil and Gas, Dow-Jones Select Dividend.
Coca-Cola, Check Point Software Technologies.
Jack Henry and Associates, Momenta Pharmaceuticals.
Jefferies Group, Kodiak Oil and Gas.
J C Penney, Warner Music Group Corporation.
J Crew Group, Integrated Device Technology.
Jammin Java Corporation, Youku Dot Com.
Ishares Russell Midcap Index Fund, Xenoport.
Ishares S and P Five Hundred Growth Index Fund, Petroleum Development Corporation.
Itau Unibanco Holding, Wisdomtree Trust India Earnings Fund.
Sociedade Anonima, Comtech-Telecommunications Corporation.
Gartner, Harmony Gold Mining.
Insight Management Corporation, Community Health Systems.
Impax Laboratories, Fidelity National Information Services.
World Fuel Services Corporation, Dolby Laboratories.
Infinera Corporation, Gardner Denver.
Midcap Four Hundred Growth Index Fund, Kraton Performance Polymers.
Midcap Four Hundred Index Fund, Sanmina.
Integrated Device Technology, First Republic Bank.
Iconix Brand Group, Affymax.
International Coal Group, Allied Nevada Gold Corporation.
Harmony Gold Mining, Scripps Networks Interactive.
Home Properties, Perkin Elmer.
Hecla-Mining, People's United Financial.
Harleysville Group, Jammin Java Corporation.
W R Grace and Company, Engineering Group Incorporated.
Global Payments, Infinera Corporation.
Global Crossing, J C Penney.
Guess, Body Central.
Gardner Denver, Proshares Ultra Gold.
Currencyshares Japanese Yen Shares, Herbalife Limited.
Swiss Franc Shares, Bank Of Hawaii.
Frontline, Lattice Semiconductor Corporation.
First-Republic Bank, Rock Tenn Company.
Financial Engines, Charming-Shoppes.
Federal-Home-Loan-Mortgage, Cinemark Holdings.
Flint Telecom Group, Canadian Solar.
First Horizon National Corporation, S E I Investments.
Exterran Holdings, First Horizon.
Exelixis, Valuevision Media.
Spain Index Fund, Oplink Communications.
Malaysia Index Fund, Brasil Foods.
Germany Index Fund, Polypore International.
Energy Transfer Partners, Crown Holdings.
Essex Property Trust, Red Robin Gourmet Burgers.
Enterprise Products Partners, Supervalu.
Enernoc, First Horizon National Corporation.
Emerging Markets Bond Fund, Power One.
Electronic Arts, Dollar Financial Corporation.
Dow-Jones Select Dividend, Autonation.
Proshares Ultrashort Oil and Gas, Sociedade Anonima.
Deltron, Limelight Networks.
Dollar Financial Corporation, Ubiquiti Networks.
Dolby Laboratories, Semtech Corporation.
Dicks Sporting Goods, Wellstar International.
Dean-Foods, Global Crossing.
Diageo, Berry-Petroleum.
Dillards, Manpower.
Community Health Systems, Wabco Holdings.
Cell Therapeutics, Vanguard International Equity Index Funds.
Canadian Solar, Enernoc.
Check Point, Y P F.
Comstock Resources, Toyota.
Camden Property Trust, Entegris.
Computer Programs and Systems, Dillard's.
Calpine Corporation, Zynga.
Cooper Companies, Worldwide.
Cinemark Holdings, Cardtronics.
Comtech-Telecommunications Corporation, Smart Modular Technologies.
Cloud Peak Energy, United Rentals.
Check Point Software Technologies, Masimo Corporation.
Crown Holdings, Currencyshares Japanese Yen Shares.
Cracker-Barrel-Old-Country-Store, Oasis Petroleum.
Caliper Life Sciences, Transportation Average Index Fund.
Bancorpsouth, The Hain Celestial Group.
Compania De Minas Buenaventura, American Eagle Outfitters.
Brasil Foods, Liberty-Media.
Buckeye Partners, Western Refining.
Bank Of Hawaii, Qwest Communications International.
Body Central, Vanguard Index Funds.
Bankunited, Statoil.
Barnes and Noble, L D K Solar.
B Jays Restaurants, Valeant Pharmaceuticals International.
Abraxas Petroleum, Emerging Markets Bond Fund.
Asiainfo Linkage, Monster Worldwide Incorporated.
Armour Residential, Property Corporation.
Alexandria Real Estate Equities, Amwest Imaging.
A One Two Three Systems, Zevotek.
Amwest Imaging, Teradyne.
Applied Micro Circuits Corporation, K B R.
Property Corporation, Jack Henry and Associates.
Align Technologies, Umpqua Holdings Corporation.
Albemarle Corporation, Globe Specialty Metals Incorporated.
Assurant, Cloud Peak Energy.
Air Methods Corporation, Orexigen Therapeutics.
Affymax, Whitney-Holding Corporation.
American Eagle Outfitters, Direxion Daily Emerging Markets.
Adarna Energy Corporation, International Coal Group.
Adobe-Systems, Terex Corporation.
Alberto-Culver, Iamgold Corporation.
Ancestry Dot Com, J Crew Group.
American Campus Communities, Deltron.
Atlas Air Worldwide Holdings, Cracker-Barrel-Old-Country-Store.
Advanced Analogic Technologies, Fannie Mae.
Zevotek, Proshares Ultra Financials.
Zoran Corporation, Xyratex Limited.
Zoltek Companies, Piedmont Office Realty Trust.
Horsehead Holding Corporation, Medivation.
Y P F, Royal Bank Of Canada.
Youku Dot Com, Dillards.
Yingli Green Energy Holding, Vulcan-Materials Company.
Proshares Trust, Laboratory Corporation Of America.
Crosstex Energy, Penn West Petroleum.
Xoma, Barclays Bank P L C.
Xenoport, W and T Offshore.
Consumer Discretionary Select Sector, Meadwestvaco Corporation.
Smallcap Health Care Portfolio, Smithfield-Foods.
Credit Suisse, United-Stationers.
Mphase Technologies, Holding Company Incorporated.
Webcom Group, Northern Oil and Gas.
Whitney-Holding Corporation, Estee Lauder Cosmetics.
W and T Offshore, Dean-Foods.
Watsco, Air Methods Corporation.
Williams Sonoma, Watson Pharmaceuticals.
Williams Partners, Orthovita.
Worthington-Industries, Heartware International.
Wentworth Energy, Werner Enterprises.
Warner Music Group Corporation, Carrizo Oil and Gas.
Wellstar International, Blackstone Group.
Westlake Chemical Corporation, Federal Realty Investment Trust.
Wilmington Trust Corporation, Signet Jewelers Limited.
Winn Dixie Stores, Barnes and Noble.
Washington Federal, B Jays Restaurants.
Electronic Materials, Halliburton Company.
Wells-Fargo, Armour Residential.
Waddell and Reed Financial, Two Harbors Investment Corporation.
Wellcare Health Plans, Navistar-International Corporation.
Waters Corporation, Tim Participacoes.
Valuevision Media, Verint Systems.
Visteon Corporation, Atlas Air Worldwide Holdings.
Valeant Pharmaceuticals International, S and P Homebuilders E T F.
Verint Systems, Comstock Resources.
Vermillion, Vivus.
Verigy, Xoma.
Vera Bradley, Myriad Genetics.
Barclays, W R Grace and Company.
Russell One Thousand Growth, Abraxas Petroleum.
Volcano Corporation, Liberty Global.
Twenty-one Vianet Group, Proshares Ultrashort Oil and Gas.
Valmont-Industries, Verigy.
Valley-National Bancorp, Sector Trust.
Volterra Semiconductor, Molson Coors Brewing Company.
Vix Short Term Futures, Tripadvisor.
Orthovita, Gold Fields Limited.
Velti, Canadian-Pacific Railway Limited.
Vanguard Europe Pacific, Rubicon Technology.
Proshares Ultra Financials, Waters Corporation.
U S Gold Corporation, Wisconsin-Energy Corporation.
Worldwide, Sonic Solutions.
Ultratech, Albemarle Corporation.
Uranium Resources, Wentworth Energy.
United Rentals, Lithium Exploration Group.
United Natural Foods, Bull Three X Shares.
Umpqua Holdings Corporation, K B W Regional Banking.
Proshares Ultra Gold, Midcap Four Hundred Index Fund.
Ubiquiti Networks, Westamerica Bancorp.
Bankrate, Collective Brands.
Cogito Media Group, Immunogen.
Collective Brands, Newport Digital Technologies.
Corporate Office Properties Trust, Keynote Systems.
Direxion Daily Technology Bull Three X Shares, R S C Holdings.
Everest Group Limited, Daily Technology Shares.
First Trust Nasdaq One Hundred Technology, Plains All American Pipeline.
Global Power, I N G Groep.
Gen-Probe, International Flavors.
Georesources, Sonic Automotive.
Geron Corporation, Seadrill Limited.
Global Earth Energy, Six-Flags Entertainment Corporation.
Global Power Equipment Group, Stone Energy Corporation.
Glu Mobile, Rentech Nitrogen Partners.
G N C Acquisition Holdings, Prosperity Bancshares.
Kellogg Brown and Root, Koninklijke Philips Electronics.
Gol Intelligent Airlines, Imax Corporation.
Golar L N G Partners, Inergy Midstream.
Gold Resource Corporation, Global Earth Energy.
Graftech International Limited, First Trust Nasdaq One Hundred Technology.
Graham Packaging Company, Jabil Circuit.
Great-Plains Energy, Spectrum Brands Holdings.
Greenwood Gold Resources, Hughes Communications.
Grifols S A, Rydex S and P Equal Weight E T F.
Integra Lifesciences, Owens-Corning.
Harley-Davidson, R P X Corporation.
Harman International Industries, Kellogg Brown and Root.
Harmonic, Pain Therapeutics.
Harvest Natural Resources, National Cinemedia.
Hatteras Financial Corporation, Pinnacle-West-Capital Corporation.
Hawaiian Electric Industries, Parexel International Corporation.
Hdfc Bank Limited, Graham Packaging Company.
Hertz Global Holdings, Semgroup Corporation.
Higher One Holdings, Primerica.
Hillenbrand, Realpage.
Hughes Communications, Merck and Company.
Huntsman Corporation, Idenix Pharmaceuticals.
Hyperdynamics Corporation, Sociedad Quimica.
Idenix Pharmaceuticals, Magic Investment Corporation.
Blimpie, Acme.
Doubletree Hotel, Discover Bank.
Kohls Department Store, Ruby Tuesday.
Acme Market, Cinnabon.
Carmike-Cinemas, Circuit-City.
China Star, Hudson City Savings Bank.
Home-Depot, Kangaroo Express.
Church's Chicken, Avon Products.
Spirit Halloween Superstore, Hardee's.
Boston Convention and Exhibition Center, Nationwide Vision Centers.
Square, Creamery.
Comcast Spotlight, Smith Haven Mall.
Randall's Food and Pharmacy, El Paseo Gardens.
Dave and Buster's, Ingles Markets.
Fiddlesticks, Torrid.
Library, Mart.
Neiman-Marcus, World Finance.
Field Museum, Saint-Francis Hospital.
Market, Resorts.
Bealls Department Store, Poughkeepsie Galleria.
Smith's Marketplace, Pizza Plus.
Stonewood Grill and Tavern, Covington Credit.
Independent Center, Sherwin Williams.
Hungry Howies Pizza, Rockwell Automation.
Museum of Fine Arts, Register Of Deeds.
PlayNTrade, Dairy Queen.
Public Library, Public Works Director.
Tires Plus Total Car Care, Westmoreland Mall.
Yosemite National Park, Maxway.
Round Table Pizza, Papa Murphy's Take-N-Bake Pizza.
Circuit-City, Marco's Pizza.
Pizza Guys, Harvard-University.
Spencer's, Stonewood Grill and Tavern.
Publix-Super-Markets, Osco Pharmacy.
Long John Silvers, Citizens Bank.
Natural History, Place.
McCaulou's Department Store, Brake Check.
Whole Foods Market, Stop and Shop Supermarket.
Kentucky Fried Chicken, Castle Amusement Park.
Precision Tune Auto Care, Little Caesars.
La-Petite Academy, Compass Bank.
Harvard-University, H and R Block.
Vanderbilt University Medical Center, Wienerschnitzel.
Bertucci's, Sony.
Fresh Market, Stanford-University.
Popeye's Chicken, Wegmans Food Markets.
Aspen Institute, Stop and Shop.
The Vitamin Shoppe, Yosemite National Park.
Ponderosa, Apple Computers.
Rockwell Automation, Megabus Dot Com.
Fry's Electronics, Donatos.
Lord and Taylor, Bi-Mart.
Discover Bank, Wal-Mart General-Information.
Crossroads Center, Shari's Restaurant.
